# Lambda (Å), Efficiency
1.000000000000000021e-02,3.124072351747374590e-02
2.000000000000000042e-02,6.193811051920729976e-02
2.999999999999999889e-02,9.240548830504632938e-02
4.000000000000000083e-02,1.210406521840828170e-01
5.000000000000000278e-02,1.495777410890901382e-01
6.000000000000000472e-02,1.758017337812235459e-01
6.999999999999999278e-02,2.042671390151500344e-01
8.000000000000000167e-02,2.293562859215630134e-01
8.999999999999999667e-02,2.529355652839312407e-01
9.999999999999999167e-02,2.783411519207225071e-01
1.100000000000000006e-01,3.007433696347637242e-01
1.199999999999999956e-01,3.212302011413308844e-01
1.300000000000000044e-01,3.447670188473790365e-01
1.400000000000000133e-01,3.635782414843859445e-01
1.500000000000000222e-01,3.834499216767204843e-01
1.600000000000000033e-01,4.042723610104491105e-01
1.700000000000000122e-01,4.217765671480142031e-01
1.800000000000000211e-01,4.391417433955024374e-01
1.900000000000000022e-01,4.581974775296627223e-01
2.000000000000000111e-01,4.759288673622369958e-01
2.100000000000000200e-01,4.912087896686688215e-01
2.200000000000000011e-01,5.056160713611470570e-01
2.300000000000000100e-01,5.207608024602226049e-01
2.400000000000000189e-01,5.361017582854333829e-01
2.500000000000000000e-01,5.505713410968231525e-01
2.600000000000000089e-01,5.638457315954363835e-01
2.700000000000000178e-01,5.765656492144864975e-01
2.800000000000000266e-01,5.890874151540006487e-01
2.900000000000000355e-01,6.017401346731331424e-01
2.999999999999999889e-01,6.140493492770062733e-01
3.099999999999999978e-01,6.256451636777721204e-01
3.200000000000000067e-01,6.365636029648699123e-01
3.300000000000000155e-01,6.469264912674558277e-01
3.400000000000000244e-01,6.570361107541881074e-01
3.500000000000000333e-01,6.668442738439425144e-01
3.600000000000000422e-01,6.763175856329872726e-01
3.699999999999999956e-01,6.856718119099083353e-01
3.800000000000000044e-01,6.946379759458147785e-01
3.900000000000000133e-01,7.033503859470825459e-01
4.000000000000000222e-01,7.117428913560855941e-01
4.100000000000000311e-01,7.197864981312706023e-01
4.200000000000000400e-01,7.276064276444622614e-01
4.299999999999999933e-01,7.351324731595886286e-01
4.400000000000000022e-01,7.424291818485001526e-01
4.500000000000000111e-01,7.495568232772191752e-01
4.600000000000000200e-01,7.563875007177596199e-01
4.700000000000000289e-01,7.629962797628586646e-01
4.800000000000000377e-01,7.695163656807408881e-01
4.899999999999999911e-01,7.755654173555253106e-01
5.000000000000000000e-01,7.815810384296736357e-01
5.100000000000000089e-01,7.873625224921551036e-01
5.200000000000000178e-01,7.929659858297953834e-01
5.300000000000000266e-01,7.983514712715878980e-01
5.400000000000000355e-01,8.035475805095170232e-01
5.500000000000000444e-01,8.085992657870807454e-01
5.600000000000000533e-01,8.133124923506370729e-01
5.700000000000000622e-01,8.179982774453082861e-01
5.800000000000000711e-01,8.226426711787938606e-01
5.899999999999999689e-01,8.269483440447555900e-01
5.999999999999999778e-01,8.310372889673710572e-01
6.099999999999999867e-01,8.351599411275892892e-01
6.199999999999999956e-01,8.389920405486394062e-01
6.300000000000000044e-01,8.428531935115457507e-01
6.400000000000000133e-01,8.464845319421666625e-01
6.500000000000000222e-01,8.499114546323700559e-01
6.600000000000000311e-01,8.533046536985375852e-01
6.700000000000000400e-01,8.565475035236299606e-01
6.800000000000000488e-01,8.597206975544847696e-01
6.900000000000000577e-01,8.626853790804419608e-01
7.000000000000000666e-01,8.656819933063463202e-01
7.100000000000000755e-01,8.685050221826624561e-01
7.199999999999999734e-01,8.712651202606634948e-01
7.299999999999999822e-01,8.737880003673470508e-01
7.399999999999999911e-01,8.765236829586945388e-01
7.500000000000000000e-01,8.788638126882390988e-01
7.600000000000000089e-01,8.813063306390738205e-01
7.700000000000000178e-01,8.835902169100823267e-01
7.800000000000000266e-01,8.858229716473546844e-01
7.900000000000000355e-01,8.879080237398773168e-01
8.000000000000000444e-01,8.899822385605982156e-01
8.100000000000000533e-01,8.919267194854554326e-01
8.200000000000000622e-01,8.938350851157668142e-01
8.300000000000000711e-01,8.956948451564231695e-01
8.400000000000000799e-01,8.974796897192451883e-01
8.499999999999999778e-01,8.991472771685716792e-01
8.599999999999999867e-01,9.008450104674554648e-01
8.699999999999999956e-01,9.024396702594472686e-01
8.800000000000000044e-01,9.040466593627687342e-01
8.900000000000000133e-01,9.055236893971357892e-01
9.000000000000000222e-01,9.069235451791306524e-01
9.100000000000000311e-01,9.083420508524818748e-01
9.200000000000000400e-01,9.097459564636064533e-01
9.300000000000000488e-01,9.109900377844475372e-01
9.400000000000000577e-01,9.122116603468373164e-01
9.500000000000000666e-01,9.134442048993689500e-01
9.600000000000000755e-01,9.146281034470455928e-01
